City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dunedin,NZ,2020-05-06 09:33:30,-45.87,170.5,51.01,78,15,1.99
1,Torbay,CA,2020-05-06 09:36:26,47.67,-52.73,36.0,91,90,11.41
2,Punta Arenas,CL,2020-05-06 09:36:26,-53.15,-70.92,35.6,93,100,3.36
3,Khatanga,RU,2020-05-06 09:36:27,71.97,102.5,11.91,90,100,15.95
4,Souillac,MU,2020-05-06 09:36:27,-20.52,57.52,82.4,69,40,11.41
5,Hailar,CN,2020-05-06 09:35:28,49.2,119.7,66.54,25,100,11.16
6,Quilali,NI,2020-05-06 09:36:27,13.57,-86.03,74.5,79,96,2.42
7,Jamestown,US,2020-05-06 09:36:27,42.1,-79.24,39.2,38,90,8.05
8,Buraydah,SA,2020-05-06 09:36:28,26.33,43.98,84.2,35,24,9.17
9,Namatanai,PG,2020-05-06 09:36:28,-3.67,152.43,80.71,73,88,3.38
10,Saint George,US,2020-05-06 09:36:28,37.1,-113.58,59.0,30,1,5.82
11,Rikitea,PF,2020-05-06 09:36:28,-23.12,-134.97,73.76,63,79,12.1
12,Turkistan,KZ,2020-05-06 09:36:28,43.0,68.0,81.48,31,17,11.95
13,Nalut,LY,2020-05-06 09:36:29,30.33,10.85,91.54,11,0,4.23
14,Nikolskoye,RU,2020-05-06 09:36:29,59.7,30.79,62.01,31,47,8.95
15,Tecalitlan,MX,2020-05-06 09:36:29,19.47,-103.3,67.14,74,93,2.35
16,Touros,BR,2020-05-06 09:36:29,-5.2,-35.46,75.2,100,75,4.7
17,Tuktoyaktuk,CA,2020-05-06 09:36:29,69.45,-133.04,26.83,99,95,7.7
18,Shahr-E Kord,IR,2020-05-06 09:36:30,32.33,50.86,62.6,48,75,16.11
19,Cape Town,ZA,2020-05-06 09:36:30,-33.93,18.42,78.01,56,0,10.29
20,Bambous Virieux,MU,2020-05-06 09:36:30,-20.34,57.76,82.4,69,40,11.41
21,Kodiak,US,2020-05-06 09:34:00,57.79,-152.41,44.6,81,90,23.04
22,Mataura,NZ,2020-05-06 09:36:30,-46.19,168.86,47.59,80,100,4.34
23,Margate,GB,2020-05-06 09:32:29,51.38,1.39,55.99,78,0,5.99
24,Coihaique,CL,2020-05-06 09:36:30,-45.58,-72.07,42.8,87,20,5.82
25,Albina,SR,2020-05-06 09:36:31,5.5,-54.05,75.76,92,100,3.2
26,Port Elizabeth,ZA,2020-05-06 09:36:31,-33.92,25.57,66.2,93,90,11.41
27,Isangel,VU,2020-05-06 09:36:31,-19.55,169.27,70.48,86,100,12.88
28,Bluff,NZ,2020-05-06 09:36:31,-46.6,168.33,53.11,78,100,21.25
29,Hobart,AU,2020-05-06 09:36:31,-42.88,147.33,59.0,67,100,11.41
30,Tosno,RU,2020-05-06 09:36:31,59.54,30.88,62.01,31,58,8.95
31,Ushuaia,AR,2020-05-06 09:36:31,-54.8,-68.3,35.6,64,40,4.7
32,Chuy,UY,2020-05-06 09:36:32,-33.7,-53.46,55.71,71,85,13.02
33,Tevriz,RU,2020-05-06 09:36:32,57.51,72.4,73.89,30,0,13.69
34,Bacolod,PH,2020-05-06 09:36:32,10.67,122.95,84.99,77,77,3.49
35,Cherskiy,RU,2020-05-06 09:36:32,68.75,161.3,28.0,95,100,4.0
36,Mount Isa,AU,2020-05-06 09:36:32,-20.73,139.5,75.2,29,15,5.82
37,Avarua,CK,2020-05-06 09:33:47,-21.21,-159.78,73.4,94,29,1.12
38,Arraial Do Cabo,BR,2020-05-06 09:36:33,-22.97,-42.03,69.8,94,40,4.07
39,Qaanaaq,GL,2020-05-06 09:36:33,77.48,-69.36,11.93,90,100,6.73
40,Hualmay,PE,2020-05-06 09:36:33,-11.1,-77.61,67.1,82,100,4.16
41,Meulaboh,ID,2020-05-06 09:36:33,4.14,96.13,83.17,75,85,4.7
42,Surt,LY,2020-05-06 09:36:33,31.21,16.59,81.61,30,0,2.26
43,Hithadhoo,MV,2020-05-06 09:34:26,-0.6,73.08,85.17,73,18,11.56
44,Mabaruma,GY,2020-05-06 09:36:34,8.2,-59.78,76.3,88,93,5.44
45,Berlevag,NO,2020-05-06 09:36:34,70.86,29.09,41.0,65,75,11.41
46,Baculin,PH,2020-05-06 09:36:34,7.45,126.58,81.66,76,83,1.99
47,Mahebourg,MU,2020-05-06 09:36:34,-20.41,57.7,82.4,69,40,11.41
48,New Norfolk,AU,2020-05-06 09:36:34,-42.78,147.06,59.0,73,100,3.49
49,Esperance,AU,2020-05-06 09:36:35,-33.87,121.9,57.2,41,40,28.86
50,Atuona,PF,2020-05-06 09:36:35,-9.8,-139.03,80.55,77,12,17.18
51,Riyadh,SA,2020-05-06 09:36:14,24.69,46.72,98.6,20,20,9.17
52,East London,ZA,2020-05-06 09:36:35,-33.02,27.91,71.6,56,19,16.11
53,Busselton,AU,2020-05-06 09:36:35,-33.65,115.33,54.0,49,68,16.98
54,Batagay-Alyta,RU,2020-05-06 09:36:35,67.8,130.41,29.37,96,100,2.13
55,Vaini,TO,2020-05-06 09:36:36,-21.2,-175.2,77.0,94,75,5.82
56,Butaritari,KI,2020-05-06 09:36:36,3.07,172.79,83.01,80,19,10.29
57,Port Blair,IN,2020-05-06 09:36:36,11.67,92.75,87.21,68,84,9.69
58,Port-Cartier,CA,2020-05-06 09:36:36,50.03,-66.87,48.2,61,75,5.82
59,Georgetown,MY,2020-05-06 09:34:11,5.41,100.34,89.6,70,20,11.41
60,Guarapari,BR,2020-05-06 09:36:36,-20.67,-40.5,71.6,83,20,3.36
61,Kapaa,US,2020-05-06 09:36:36,22.08,-159.32,73.4,88,90,12.75
62,Imbituba,BR,2020-05-06 09:36:37,-28.24,-48.67,66.2,82,100,6.93
63,Rio Gallegos,AR,2020-05-06 09:36:37,-51.62,-69.22,30.2,100,100,4.7
64,Atotonilquillo,MX,2020-05-06 09:36:37,20.4,-103.13,66.0,77,40,4.7
65,Shirpur,IN,2020-05-06 09:35:33,21.35,74.88,110.48,9,14,8.59
66,Bethel,US,2020-05-06 09:33:54,41.37,-73.41,42.01,74,1,6.51
67,Victoria,HK,2020-05-06 09:32:48,22.29,114.16,86.0,76,53,7.0
68,Waiouru,NZ,2020-05-06 09:36:38,-39.48,175.67,33.42,91,0,2.68
69,Lincoln,US,2020-05-06 09:36:38,40.8,-96.67,45.0,75,20,3.36
70,Ardabil,IR,2020-05-06 09:36:13,38.25,48.29,66.2,52,90,11.41
71,Barrow,US,2020-05-06 09:33:58,71.29,-156.79,10.4,92,90,11.41
72,Pokrovka,KG,2020-05-06 09:36:38,42.34,78.01,57.52,38,89,6.33
73,Bredasdorp,ZA,2020-05-06 09:34:05,-34.53,20.04,69.8,30,20,13.87
74,Bandar,ID,2020-05-06 09:36:39,2.05,99.75,85.37,79,87,1.5
75,Port Lincoln,AU,2020-05-06 09:36:39,-34.73,135.87,67.78,32,52,16.82
76,Kununurra,AU,2020-05-06 09:36:39,-15.77,128.73,82.4,32,12,3.36
77,Guerrero Negro,MX,2020-05-06 09:36:39,27.98,-114.06,65.93,70,0,5.91
78,Thompson,CA,2020-05-06 09:36:40,55.74,-97.86,19.4,79,5,4.7
79,Norman Wells,CA,2020-05-06 09:36:40,65.28,-126.83,32.0,89,20,2.24
80,Saskylakh,RU,2020-05-06 09:36:40,71.92,114.08,7.29,93,73,7.05
81,Hami,CN,2020-05-06 09:36:40,42.8,93.45,66.7,30,99,9.37
82,Innisfail,AU,2020-05-06 09:36:40,-17.53,146.03,70.63,84,39,10.2
83,Julio De Castilhos,BR,2020-05-06 09:36:40,-29.23,-53.68,43.14,99,9,10.6
84,Lebu,CL,2020-05-06 09:36:41,-37.62,-73.65,52.59,69,5,16.84
85,Hilo,US,2020-05-06 09:32:36,19.73,-155.09,71.6,73,90,6.93
86,Inhambane,MZ,2020-05-06 09:36:41,-23.86,35.38,80.6,61,20,4.7
87,Deputatskiy,RU,2020-05-06 09:36:41,69.3,139.9,19.98,97,55,2.53
88,Albany,US,2020-05-06 09:35:02,42.6,-73.97,36.0,65,39,2.1
89,Namli,IN,2020-05-06 09:36:41,23.43,75.05,105.87,8,32,11.5
90,Greenfield,US,2020-05-06 09:36:42,42.96,-88.01,42.01,44,75,8.05
91,Mayumba,GA,2020-05-06 09:36:42,-3.43,10.66,78.98,88,93,4.38
92,Itaobim,BR,2020-05-06 09:36:42,-16.57,-41.83,66.18,89,47,1.3
93,Necochea,AR,2020-05-06 09:36:42,-38.55,-58.74,55.0,70,99,15.01
94,Hermanus,ZA,2020-05-06 09:36:42,-34.42,19.23,73.99,56,1,10.07
95,Wamba,NG,2020-05-06 09:36:43,8.93,8.6,95.67,38,1,3.98
96,Fairbanks,US,2020-05-06 09:36:43,64.84,-147.72,46.0,69,1,0.83
97,Tasiilaq,GL,2020-05-06 09:36:43,65.61,-37.64,33.8,50,99,24.16
98,Pandan,PH,2020-05-06 09:36:43,14.05,124.17,84.0,80,16,7.43
99,Puerto Ayora,EC,2020-05-06 09:36:43,-0.74,-90.35,73.99,94,49,5.03
100,Zhovtneve,UA,2020-05-06 09:36:44,50.66,24.25,39.54,98,100,7.38
101,Columbia,US,2020-05-06 09:36:44,34.0,-81.03,68.0,82,1,8.05
102,Tezu,IN,2020-05-06 09:36:44,27.92,96.17,90.95,39,12,3.09
103,Chitipa,MW,2020-05-06 09:36:44,-9.7,33.27,72.54,66,82,9.4
104,Okmulgee,US,2020-05-06 09:36:44,35.62,-95.96,51.8,81,1,6.71
105,Vardo,NO,2020-05-06 09:36:44,70.37,31.11,41.0,65,75,4.7
106,Saint-Philippe,RE,2020-05-06 09:36:44,-21.36,55.77,82.4,65,15,6.93
107,Chilliwack,CA,2020-05-06 09:36:45,49.17,-121.94,53.6,93,90,4.7
108,Rockland,US,2020-05-06 09:36:45,41.17,-74.05,48.99,61,92,6.22
109,Bengkulu,ID,2020-05-06 09:32:07,-3.8,102.27,84.42,78,98,8.79
110,Avera,US,2020-05-06 09:36:45,33.19,-82.53,68.0,72,40,12.75
111,Bulungu,CD,2020-05-06 09:36:45,-4.55,18.6,85.06,64,85,4.9
112,Baiao,BR,2020-05-06 09:36:45,-2.79,-49.67,73.9,98,94,1.43
113,Tambopata,PE,2020-05-06 09:36:46,-12.73,-69.18,72.34,91,99,1.48
114,Havelock,US,2020-05-06 09:33:11,34.88,-76.9,69.01,88,75,3.36
115,Zaria,NG,2020-05-06 09:36:46,11.11,7.72,95.56,10,7,10.45
116,Alta,NO,2020-05-06 09:36:46,69.97,23.27,44.6,45,84,13.87
117,Karratha,AU,2020-05-06 09:36:46,-20.74,116.85,77.04,56,3,8.01
118,Castro,BR,2020-05-06 09:36:46,-24.79,-50.01,57.92,92,100,5.06
119,Fort Saint James,CA,2020-05-06 09:36:47,54.43,-124.25,40.08,71,100,3.98
120,Faanui,PF,2020-05-06 09:36:47,-16.48,-151.75,81.46,80,95,13.06
121,Yellowknife,CA,2020-05-06 09:36:47,62.46,-114.35,33.8,59,75,12.75
122,Pisco,PE,2020-05-06 09:36:47,-13.7,-76.22,64.4,82,90,5.53
123,Akhaldaba,GE,2020-05-06 09:36:47,41.65,42.15,59.0,100,75,6.93
124,Neiafu,TO,2020-05-06 09:36:47,-18.65,-173.98,81.14,83,24,11.68
125,Lethem,GY,2020-05-06 09:36:48,3.38,-59.8,75.47,89,100,9.26
126,Petropavlovsk-Kamchatskiy,RU,2020-05-06 09:36:48,53.05,158.65,39.2,51,40,13.42
127,Genhe,CN,2020-05-06 09:36:48,50.78,121.52,58.73,34,100,4.14
128,Kruisfontein,ZA,2020-05-06 09:36:48,-34.0,24.73,68.92,66,72,6.55
129,Sitka,US,2020-05-06 09:36:48,57.05,-135.33,48.2,66,1,7.34
130,Salalah,OM,2020-05-06 09:36:48,17.02,54.09,89.6,62,20,14.99
131,Marmarion,GR,2020-05-06 09:36:48,38.05,24.32,77.0,23,100,3.36
132,Formosa Do Rio Preto,BR,2020-05-06 09:36:49,-11.05,-45.19,70.5,89,98,3.04
133,Rio Grande,BR,2020-05-06 09:36:49,-32.03,-52.1,52.0,84,39,10.0
134,Cidreira,BR,2020-05-06 09:36:49,-30.18,-50.21,57.04,75,27,17.0
135,Khandyga,RU,2020-05-06 09:36:49,62.67,135.6,35.04,94,95,4.14
136,Katsuura,JP,2020-05-06 09:36:49,35.13,140.3,63.0,93,75,12.75
137,Kokuy,RU,2020-05-06 09:36:49,52.2,117.55,64.53,28,100,8.75
138,Poretskoye,RU,2020-05-06 09:36:50,55.2,46.33,61.12,61,81,12.39
139,Ambilobe,MG,2020-05-06 09:36:50,-13.2,49.05,92.53,43,1,4.92
140,Narok,KE,2020-05-06 09:36:50,-1.08,35.86,71.92,67,89,10.63
141,Luderitz,NA,2020-05-06 09:36:50,-26.65,15.16,84.38,18,32,4.25
142,Changying,CN,2020-05-06 09:36:50,52.87,123.32,62.51,29,91,3.11
143,Omurtag,BG,2020-05-06 09:36:50,43.1,26.42,53.6,81,90,25.28
144,Tilichiki,RU,2020-05-06 09:36:51,60.47,166.1,30.25,98,100,35.1
145,Dongsheng,CN,2020-05-06 09:36:51,39.82,109.98,63.36,54,97,29.73
146,Roma,US,2020-05-06 09:33:03,43.21,-75.46,30.2,86,1,3.87
147,Nanortalik,GL,2020-05-06 09:36:51,60.14,-45.24,40.14,80,100,8.55
148,Zorritos,PE,2020-05-06 09:36:51,-3.68,-80.68,76.23,77,96,0.63
149,Vostok,RU,2020-05-06 09:36:51,46.49,135.88,44.28,59,16,4.99
150,Carnarvon,AU,2020-05-06 09:36:51,-24.87,113.63,69.03,63,0,19.73
151,Mar Del Plata,AR,2020-05-06 09:36:51,-38.0,-57.56,55.0,62,90,11.41
152,Bechem,GH,2020-05-06 09:36:52,7.09,-2.02,84.51,69,89,4.63
153,Kasongo-Lunda,CD,2020-05-06 09:36:52,-6.47,16.82,85.98,58,85,4.7
154,Raja Jang,PK,2020-05-06 09:36:52,31.22,74.25,87.8,38,75,5.82
155,Mahanoro,MG,2020-05-06 09:36:52,-19.9,48.8,77.72,83,36,7.74
156,Shache,CN,2020-05-06 09:36:52,38.42,77.24,61.66,59,100,5.48
157,Severo-Kurilsk,RU,2020-05-06 09:36:52,50.68,156.12,33.67,90,98,21.36
158,Usogorsk,RU,2020-05-06 09:36:53,63.41,48.69,47.61,93,100,9.73
159,Kenmare,IE,2020-05-06 09:36:53,51.88,-9.58,51.8,87,75,13.87
160,Bundaberg,AU,2020-05-06 09:36:53,-24.85,152.35,70.0,60,4,8.05
161,Iqaluit,CA,2020-05-06 09:36:53,63.75,-68.51,3.2,77,20,4.7
162,Tongren,CN,2020-05-06 09:36:53,27.72,109.19,69.84,88,98,3.96
163,Codrington,AU,2020-05-06 09:36:53,-38.27,141.97,58.15,48,100,13.31
164,Bilibino,RU,2020-05-06 09:36:53,68.05,166.44,22.23,91,100,2.57
165,Ribeira Grande,PT,2020-05-06 09:36:54,38.52,-28.7,62.6,88,75,8.05
166,Vanavara,RU,2020-05-06 09:36:54,60.34,102.28,38.5,90,100,7.27
167,Kolaras,IN,2020-05-06 09:36:54,25.23,77.6,102.78,10,85,10.96
168,Port Alfred,ZA,2020-05-06 09:36:54,-33.59,26.89,70.5,68,92,12.39
169,Lata,PT,2020-05-06 09:36:54,40.16,-8.33,70.0,66,99,3.0
170,Lagoa,PT,2020-05-06 09:36:55,39.05,-27.98,61.03,88,89,9.98
171,Pevek,RU,2020-05-06 09:36:55,69.7,170.31,25.93,87,100,10.51
172,Mendoza,AR,2020-05-06 09:36:55,-32.89,-68.83,39.2,86,0,2.28
173,Sept-Iles,CA,2020-05-06 09:36:55,50.2,-66.38,48.2,61,75,5.82
174,Bodden Town,KY,2020-05-06 09:36:55,19.28,-81.25,82.0,77,100,3.0
175,Bathsheba,BB,2020-05-06 09:36:56,13.22,-59.52,80.6,74,75,20.8
176,Samos,GR,2020-05-06 09:36:56,37.76,26.98,68.0,72,75,9.17
177,Sola,VU,2020-05-06 09:36:56,-13.88,167.55,82.36,67,16,0.67
178,Namsos,NO,2020-05-06 09:36:56,64.47,11.5,43.0,80,75,18.34
179,Sambava,MG,2020-05-06 09:36:56,-14.27,50.17,82.99,67,5,11.65
180,Santa Fe,AR,2020-05-06 09:32:37,-31.63,-60.7,48.99,86,0,3.0
181,Marigot,MF,2020-05-06 09:36:57,18.07,-63.08,80.6,78,40,11.41
182,Pudozh,RU,2020-05-06 09:36:57,61.81,36.53,46.35,89,100,5.48
183,Mareeba,AU,2020-05-06 09:36:57,-17.0,145.43,73.4,78,90,16.11
184,Plettenberg Bay,ZA,2020-05-06 09:36:57,-34.05,23.37,68.49,67,31,5.39
185,Sao Gabriel Da Cachoeira,BR,2020-05-06 09:36:58,-0.13,-67.09,73.63,98,100,0.4
186,Alenquer,BR,2020-05-06 09:36:58,-1.94,-54.74,77.0,100,90,9.17
187,Tual,ID,2020-05-06 09:34:39,-5.67,132.75,83.95,79,8,18.32
188,Medicine Hat,CA,2020-05-06 09:36:58,50.05,-110.67,50.0,46,1,17.22
189,Igarka,RU,2020-05-06 09:36:58,67.47,86.58,30.29,99,97,8.48
190,Aasiaat,GL,2020-05-06 09:36:58,68.71,-52.87,22.17,90,0,3.62
191,Narsaq,GL,2020-05-06 09:36:58,60.92,-46.05,41.0,80,75,6.62
192,Geraldton,AU,2020-05-06 09:36:59,-28.77,114.6,66.2,45,90,17.22
193,Los Llanos De Aridane,ES,2020-05-06 09:36:59,28.66,-17.92,69.8,64,20,6.93
194,Sakakah,SA,2020-05-06 09:32:35,29.97,40.21,73.4,28,0,21.92
195,Santa Cruz Cabralia,BR,2020-05-06 09:36:59,-16.28,-39.02,69.8,88,20,3.36
196,Saint Anthony,US,2020-05-06 09:33:05,45.02,-93.22,50.0,70,75,6.93
197,Bonavista,CA,2020-05-06 09:37:00,48.65,-53.11,34.0,84,100,4.0
198,Leningradskiy,RU,2020-05-06 09:37:00,69.38,178.42,17.17,91,28,7.34
199,Kalawit,PH,2020-05-06 09:37:00,8.07,122.52,83.86,73,51,3.62
200,Leeds,GB,2020-05-06 09:34:52,53.8,-1.55,53.01,66,20,8.05
201,Arman,RU,2020-05-06 09:37:00,59.7,150.17,33.94,84,86,11.32
202,Kanker,IN,2020-05-06 09:37:00,20.27,81.49,91.56,31,82,6.73
203,Dhidhdhoo,MV,2020-05-06 09:37:00,6.88,73.1,85.87,76,97,10.16
204,Dikson,RU,2020-05-06 09:37:01,73.51,80.55,10.71,93,1,12.48
205,Todos Santos,MX,2020-05-06 09:37:01,23.45,-110.22,75.0,44,0,1.99
206,Sechura,PE,2020-05-06 09:37:01,-5.56,-80.82,72.9,70,69,5.08
207,Scottsbluff,US,2020-05-06 09:37:01,41.87,-103.67,35.6,93,1,3.36
208,Ponta Do Sol,PT,2020-05-06 09:37:01,32.67,-17.1,66.2,77,75,5.82
209,Atar,MR,2020-05-06 09:37:02,20.52,-13.05,89.6,17,0,10.29
210,Hasaki,JP,2020-05-06 09:37:02,35.73,140.83,59.0,100,75,5.82
211,Luanda,AO,2020-05-06 09:37:02,-8.84,13.23,82.4,74,75,4.7
212,Mogadouro,PT,2020-05-06 09:37:02,41.34,-6.71,63.25,52,94,1.68
213,Nelson Bay,AU,2020-05-06 09:37:02,-32.72,152.15,60.8,87,0,6.93
214,Ostrovnoy,RU,2020-05-06 09:37:03,68.05,39.51,37.94,89,1,21.39
215,Kaitangata,NZ,2020-05-06 09:37:03,-46.28,169.85,51.01,75,96,3.0
216,Sao Joao Da Barra,BR,2020-05-06 09:37:03,-21.64,-41.05,69.8,88,7,9.17
217,Vestmannaeyjar,IS,2020-05-06 09:37:03,63.44,-20.27,42.8,81,90,8.05
218,Muscat,OM,2020-05-06 09:37:03,23.61,58.59,95.0,50,20,14.99
219,Hirara,JP,2020-05-06 09:37:04,24.8,125.28,77.0,78,75,13.87
220,Calvinia,ZA,2020-05-06 09:37:04,-31.47,19.78,71.6,22,1,10.29
221,Teknaf,BD,2020-05-06 09:37:04,20.86,92.31,87.01,69,0,11.12
222,Angoram,PG,2020-05-06 09:37:04,-4.06,144.07,76.78,95,97,2.15
223,Acapulco,MX,2020-05-06 09:32:38,16.86,-99.89,77.0,88,40,5.82
224,Clyde River,CA,2020-05-06 09:37:04,70.47,-68.59,1.4,84,1,3.36
225,Sinnamary,GF,2020-05-06 09:37:04,5.38,-52.95,78.75,87,100,10.98
226,Freetown,SL,2020-05-06 09:37:05,8.48,-13.23,82.56,81,96,5.64
227,Yulara,AU,2020-05-06 09:37:05,-25.24,130.99,75.2,8,23,5.82
228,Sao Joao Do Paraiso,BR,2020-05-06 09:37:05,-15.31,-42.01,63.46,93,88,3.29
229,Bethanien,NA,2020-05-06 09:37:05,-26.5,17.16,80.82,15,0,11.43
230,Poum,NC,2020-05-06 09:37:05,-20.23,164.02,71.31,76,100,9.1
231,Kapit,MY,2020-05-06 09:37:05,2.02,112.93,83.84,80,89,3.49
232,Jalu,LY,2020-05-06 09:37:06,29.03,21.55,83.12,15,0,1.57
233,Prince Rupert,CA,2020-05-06 09:37:06,54.32,-130.32,48.2,78,40,5.82
234,Erdenet,MN,2020-05-06 09:37:06,49.03,104.08,47.53,52,88,10.0
235,Havre-Saint-Pierre,CA,2020-05-06 09:37:06,50.23,-63.6,35.6,59,90,17.22
236,Matara,LK,2020-05-06 09:37:06,5.95,80.54,81.52,87,100,10.31
237,Abu Dhabi,AE,2020-05-06 09:37:06,24.47,54.37,104.0,15,25,8.05
238,Naze,JP,2020-05-06 09:37:07,28.37,129.48,75.2,88,40,13.87
239,Cap Malheureux,MU,2020-05-06 09:37:07,-19.98,57.61,82.0,70,7,7.0
240,College,US,2020-05-06 09:37:07,64.86,-147.8,46.0,69,20,4.7
241,Sorong,ID,2020-05-06 09:37:07,-0.88,131.25,83.8,76,10,5.55
242,Tiznit,MA,2020-05-06 09:37:07,29.58,-9.5,76.89,31,50,3.98
243,Nizwa,OM,2020-05-06 09:37:07,22.93,57.53,102.87,13,0,12.62
244,Malakal,SS,2020-05-06 09:37:08,9.53,31.66,99.0,32,69,5.77
245,Florianopolis,BR,2020-05-06 09:33:17,-27.61,-48.5,66.2,82,100,6.93
246,Kazachinskoye,RU,2020-05-06 09:37:08,57.7,93.28,53.46,43,29,10.83
247,Sao Filipe,CV,2020-05-06 09:37:08,14.9,-24.5,76.51,67,27,8.32
248,Gidam,IN,2020-05-06 09:37:08,18.98,81.4,95.74,34,13,10.83
249,Itoman,JP,2020-05-06 09:37:08,26.12,127.67,75.2,88,75,9.17
250,Aguimes,ES,2020-05-06 09:37:08,27.91,-15.45,71.6,60,20,19.46
251,Viedma,AR,2020-05-06 09:37:09,-40.81,-63.0,45.07,71,0,7.25
252,Gazanjyk,TM,2020-05-06 09:37:09,39.24,55.52,91.99,20,30,27.58
253,Kenai,US,2020-05-06 09:33:05,60.55,-151.26,39.2,55,1,3.36
254,Vao,NC,2020-05-06 09:37:09,-22.67,167.48,72.27,72,100,26.98
255,Merritt Island,US,2020-05-06 09:36:44,28.54,-80.67,72.0,83,1,5.82
256,Kita,ML,2020-05-06 09:37:09,13.03,-9.49,98.24,27,72,8.16
257,Oranjestad,AW,2020-05-06 09:35:31,12.52,-70.03,80.6,83,40,19.46
258,Karachi,PK,2020-05-06 09:33:43,24.91,67.08,98.6,42,0,11.41
259,Palmas,BR,2020-05-06 09:37:10,-10.21,-48.36,75.2,94,40,4.7
260,Komsomolskiy,UZ,2020-05-06 09:37:10,40.43,71.72,78.8,27,99,4.7
261,Talnakh,RU,2020-05-06 09:37:10,69.49,88.4,30.2,80,75,13.42
262,Qandala,SO,2020-05-06 09:37:10,11.47,49.87,91.36,50,3,8.79
263,Ilulissat,GL,2020-05-06 09:37:10,69.22,-51.1,24.8,58,79,4.7
264,Broome,US,2020-05-06 09:37:11,42.25,-75.83,35.01,55,1,8.05
265,San Quintin,MX,2020-05-06 09:37:11,30.48,-115.95,64.8,79,0,8.37
266,Xining,CN,2020-05-06 09:37:11,36.62,101.77,61.59,43,94,26.17
267,Logan,US,2020-05-06 09:35:39,41.74,-111.83,50.0,49,1,4.7
268,Alappuzha,IN,2020-05-06 09:37:11,9.49,76.33,87.48,73,49,10.27
269,Uyuni,BO,2020-05-06 09:37:11,-20.46,-66.83,39.2,61,47,7.18
270,Hailey,US,2020-05-06 09:37:12,43.52,-114.32,46.4,49,1,4.7
271,Suntar,RU,2020-05-06 09:37:12,62.14,117.63,50.56,69,100,6.55
272,Kushima,JP,2020-05-06 09:37:12,31.46,131.23,71.6,83,75,9.17
273,Yar-Sale,RU,2020-05-06 09:37:12,66.83,70.83,34.07,96,28,11.63
274,Avanigadda,IN,2020-05-06 09:37:12,16.02,80.92,98.31,39,0,10.89
275,Yaransk,RU,2020-05-06 09:37:13,57.3,47.89,71.37,42,0,17.74
276,Esso,RU,2020-05-06 09:37:13,55.93,158.7,29.19,94,100,4.38
277,Erzin,TR,2020-05-06 09:37:13,36.96,36.2,71.01,62,0,11.01
278,Dingle,PH,2020-05-06 09:37:13,11.0,122.67,85.73,72,92,4.74
279,Longyearbyen,SJ,2020-05-06 09:34:25,78.22,15.64,33.8,69,75,18.34
280,Gigmoto,PH,2020-05-06 09:37:13,13.78,124.39,83.25,82,41,5.97
281,Hofn,IS,2020-05-06 09:37:13,64.25,-15.21,50.0,70,100,6.93
282,Toktogul,KG,2020-05-06 09:37:14,41.87,72.94,62.11,51,99,0.6
283,Olafsvik,IS,2020-05-06 09:37:14,64.89,-23.71,42.08,86,100,8.88
284,Saucillo,MX,2020-05-06 09:37:14,28.02,-105.28,67.28,59,0,5.39
285,Beloha,MG,2020-05-06 09:37:14,-25.17,45.05,82.74,42,77,7.07
286,Oistins,BB,2020-05-06 09:37:14,13.07,-59.53,80.6,74,75,20.8
287,Biloela,AU,2020-05-06 09:37:14,-24.42,150.5,62.19,62,1,8.68
288,Chokurdakh,RU,2020-05-06 09:37:14,70.63,147.92,17.85,96,95,4.25
